serial,description,meter,historical_matches
16-14784,2023 KOMATSU D71PXi-24,130.9,2
16-14881,2024 KOMATSU D71PXi-24,2596,11
16-14936,2024 CATERPILLAR D6XE LGP VPAT 3D,2133,5
16-14944,2024 CATERPILLAR D6XE LGP 3D,1237,3
16-14945,2024 CATERPILLAR D6XE LGP 3D,1585.7,18
16-15080,CATERPILLAR D6 (SB),12.7,1
16-15081,2024 CATERPILLAR D6XE LGP 3D,2080,9
16-15121,2024 CATERPILLAR D3 LGP 3D,327.9,40
16-15145,2018 CATERPILLAR D6T LGP,7867,6
16-15146,2018 CATERPILLAR D6T LGP,5193.1,3
16-15147,2019 CATERPILLAR D6T LGP,4581.3,8
16-15148,2018 CATERPILLAR D6T LGP,N/A,17
16-15377,2024 KOMATSU D71PXi-24,1309.1,2
16-15441,JOHN DEERE 650P,336.3,1
16-15542,2023 CATERPILLAR D3 LGP 3D,840.5,2
16-15543,2024 JOHN DEERE 650P,99.8,1
16-15546,CAT D6 DOZER,364.3,1
16-15548,CATERPILLAR D6 (AB),380,3
16-15550,CAT D6 DOZER,228.8,2
16-15552,2025/Caterpillar/D6XE LGP VPAT,12.4,1
16-15554,CATERPILLAR D6,15.6,4
16-15781,2020 CATERPILLAR D6XE LGP VPAT 3D,7809,21
16-15907,2025 CATERPILLAR D3 LGP 3D,13,19
16-15994,KOMATSU D71 DOZER,N/A,1
16-16135,2025 JOHN DEERE 850X,146.6,1
16-16254,KOMATSU D71,10.5,1
16-16308,CAT D6T,8,1
16-2676,CAT D6 DOZER,1255.0,1
16-3516,CAT D6,478.0,1
16-5773,CAT D8 PULL TRACTOR,4053,1
16-6015,2004 CATERPILLAR D8RII PULL,2573.1,1
16-6645,CAT D6,10408.0,1
16-9936,2012 CATERPILLAR D6T LGP,10918.7,8
17-11500,CAT D6,5821.0,1
17-5750,KLEEMAN KW 80(5TH WHEEL),59.0,1
170456,SHELL KIT,N/A,2
1717N011,MT 28 SCRAPER,N/A,1
17360,FORD F600,N/A,1
17461,MINI BH,3081.5,2
178501546,TAKEUCHI TB280 MINI,473.3,2
18-10494,2014 CATERPILLAR D8T W/RIPPER,N/A,20
18-10495,2014 CATERPILLAR D8T,10049.6,14
18-10496,2014 CATERPILLAR D8T (W/BLADE),10842.3,6
18-10704,2008 CATERPILLAR D8T DOZER PULL,2445,14
18-10705,2009 CATERPILLAR D8T,1061.1,8
18-10706,2008 CATERPILLAR D8T DOZER PULL,1811.1,12
18-10707,2007 CATERPILLAR D8T,1125,9
18-10708,2007 CATERPILLAR D8T DOZER PULL,9185.0,17
18-10714,2008 CATERPILLAR D8T DOZER PULL,493.6,15
18-10721,CAT D8 PULL TRACTOR,12383.0,1
18-10727,2005 CATERPILLAR D8T PULL,2507.2,21
18-10728,2008 CATERPILLAR D8T DOZER PULL,1390.1,18
18-10729,2008 CATERPILLAR D8T PULL,14817.4,20
18-10782,CAT D8 DOZER,1098.2,1
18-10798,2009 CATERPILLAR D8T TRASH PKG,1820.1,11
18-10799,2008 CATERPILLAR D8T DOZER PULL,9879.0,17
18-10922,CAT D8P,9540.8,1
18-10993,2008 CATERPILLAR D8T - PAINTED,8.0,11
18-11287,CAT D8 PULL TRACTOR,787.3,1
18-11297,2011 CATERPILLAR D8T PULL,3313.0,15
18-11311,2007 CATERPILLAR D8T PULL,2958.2,20
18-11378,2007 CATERPILLAR D8T PULL,260.3,13
18-12267,1999 CATERPILLAR D8R,2412.7,11
18-12268,2008 CATERPILLAR D8T,10035.6,6
18-12269,2008 CATERPILLAR D8T DOZER PULL,9502,22
18-12270,2009 CATERPILLAR D8T DOZER PULL,8957.2,15
18-12805,2020 JOHN DEERE 9570RX,1831,1
18-12807,2011 CATERPILLAR D8T,6998.3,14
18-12813,2016 CATERPILLAR D8T,8081.7,12
18-12865,CAT D8 PULL TRACTOR,608,4
18-13289,CAT D8 DOZER,7264.8,1
18-13294,2008 CATERPILLAR D8T,8186.9,15
18-132954,CAT D8 DOZER,5265.0,1
18-13298,CAT D8 DOZER,2770.9,2
18-13316,KOMATSU D155 DOZER,4169.0,1
18-13337,JOHN DEERE TRACTOR,97.0,1
